time,battery_type,home_id,battery_current,battery_voltage,load_current,solar_current,solar_voltage,temperature,interval_s,temperature_raw,temperature_valid,generation
2026-07-29T11:08:47+00:00,LEAD_ACID,home_001,-0.67,12.26,7.74,7.07,18.69,25.6,,,,
2026-07-29T11:08:52+00:00,LEAD_ACID,home_001,-5.8,12.26,13.39,7.59,18.63,25.8,,,,
2026-07-29T11:08:57+00:00,LEAD_ACID,home_001,-0.62,12.26,7.63,7.01,18.46,26.5,,,,
2026-07-29T11:09:02+00:00,LEAD_ACID,home_001,-6.74,12.26,14.11,7.37,18.38,33.3,,,,
2026-07-29T11:09:07+00:00,LEAD_ACID,home_001,-6.48,12.26,13.88,7.4,18.33,27.6,,,,
2026-07-29T11:09:12+00:00,LEAD_ACID,home_001,-7.64,12.26,14.66,7.02,18.64,33.8,,,,
2026-07-29T11:09:17+00:00,LEAD_ACID,home_001,-6.59,12.259,13.47,6.88,18.66,25.8,,,,
2026-07-29T11:09:23+00:00,LEAD_ACID,home_001,0.54,12.259,6.79,7.33,18.5,30.3,,,,
2026-07-29T11:09:27+00:00,LEAD_ACID,home_001,0.26,12.259,7.07,7.33,18.41,28.9,,,,
2026-07-29T11:09:32+00:00,LEAD_ACID,home_001,-8.33,12.26,15.89,7.56,18.59,27.4,,,,
2026-07-29T11:09:37+00:00,LEAD_ACID,home_001,-0.19,12.259,7.59,7.4,18.43,25.0,,,,
2026-07-29T11:09:42+00:00,LEAD_ACID,home_001,0.44,12.26,6.78,7.22,18.45,31.9,,,,
2026-07-29T11:09:47+00:00,LEAD_ACID,home_001,-3.68,12.26,11.11,7.43,18.32,28.2,,,,
2026-07-29T11:09:52+00:00,LEAD_ACID,home_001,-0.45,12.26,7.97,7.52,18.62,26.4,,,,
2026-07-29T11:09:57+00:00,LEAD_ACID,home_001,-6.33,12.26,13.36,7.03,18.39,25.8,,,,
2026-07-29T11:10:02+00:00,LEAD_ACID,home_001,-3.97,12.26,11.06,7.09,18.57,31.2,,,,
2026-07-29T11:10:07+00:00,LEAD_ACID,home_001,-6.62,12.26,13.59,6.97,18.41,28.4,,,,
2026-07-29T11:10:12+00:00,LEAD_ACID,home_001,-0.41,12.26,7.38,6.97,18.44,28.8,,,,
2026-07-29T11:10:17+00:00,LEAD_ACID,home_001,-4.02,12.26,10.89,6.87,18.53,25.4,,,,
2026-07-29T11:10:23+00:00,LEAD_ACID,home_001,-3.35,12.26,10.61,7.26,18.3,34.4,,,,
2026-07-29T11:10:27+00:00,LEAD_ACID,home_001,-8.58,12.26,15.97,7.39,18.29,34.0,,,,
2026-07-29T11:10:32+00:00,LEAD_ACID,home_001,-3.06,12.26,10.26,7.2,18.53,30.9,,,,
2026-07-29T11:10:37+00:00,LEAD_ACID,home_001,-2.16,12.26,9.55,7.39,18.29,32.8,,,,
2026-07-29T11:10:42+00:00,LEAD_ACID,home_001,-5.57,12.26,12.48,6.91,18.48,28.1,,,,
2026-07-29T11:10:47+00:00,LEAD_ACID,home_001,-4.9,12.26,12.19,7.29,18.25,28.0,,,,
2026-07-29T11:10:52+00:00,LEAD_ACID,home_001,-0.35,12.26,7.7,7.35,18.66,26.5,,,,
2026-07-29T11:10:57+00:00,LEAD_ACID,home_001,-9.05,12.26,16.41,7.36,18.29,31.7,,,,
2026-07-29T11:11:02+00:00,LEAD_ACID,home_001,-6.71,12.259,13.54,6.83,18.4,30.1,,,,
2026-07-29T11:11:07+00:00,LEAD_ACID,home_001,-3.93,12.259,10.96,7.03,18.67,34.6,,,,
2026-07-29T11:11:12+00:00,LEAD_ACID,home_001,-7.12,12.259,14.17,7.05,18.71,30.9,,,,
2026-07-29T11:11:17+00:00,LEAD_ACID,home_001,-0.42,12.259,7.51,7.09,18.25,31.3,,,,
2026-07-29T11:11:22+00:00,LEAD_ACID,home_001,-5.8,12.259,13.33,7.53,18.46,30.9,,,,
2026-07-29T11:11:27+00:00,LEAD_ACID,home_001,-9.39,12.259,16.5,7.11,18.38,32.1,,,,
2026-07-29T11:11:32+00:00,LEAD_ACID,home_001,-6.28,12.259,13.44,7.16,18.58,30.7,,,,
2026-07-29T11:11:37+00:00,LEAD_ACID,home_001,-6.28,12.259,13.64,7.36,18.6,32.0,,,,
2026-07-29T11:11:42+00:00,LEAD_ACID,home_001,-5.04,12.259,11.9,6.86,18.46,34.2,,,,
2026-07-29T11:11:47+00:00,LEAD_ACID,home_001,-5.01,12.259,12.57,7.56,18.29,26.8,,,,
2026-07-29T11:11:52+00:00,LEAD_ACID,home_001,-1.16,12.259,8.24,7.08,18.61,33.5,,,,
2026-07-29T11:11:57+00:00,LEAD_ACID,home_001,-5.38,12.259,12.53,7.15,18.58,26.5,,,,
2026-07-29T11:12:02+00:00,LEAD_ACID,home_001,-8.92,12.259,16.32,7.4,18.34,30.1,,,,
2026-07-29T11:12:07+00:00,LEAD_ACID,home_001,-7.36,12.259,14.35,6.99,18.65,26.4,,,,
2026-07-29T11:12:12+00:00,LEAD_ACID,home_001,-8.83,12.259,16.37,7.54,18.73,31.4,,,,
2026-07-29T11:12:17+00:00,LEAD_ACID,home_001,-0.46,12.259,7.96,7.5,18.36,29.5,,,,
2026-07-29T11:12:22+00:00,LEAD_ACID,home_001,-5.26,12.259,12.24,6.98,18.44,26.7,,,,
2026-07-29T11:12:27+00:00,LEAD_ACID,home_001,-4.26,12.259,11.11,6.85,18.33,32.4,,,,
2026-07-29T11:12:32+00:00,LEAD_ACID,home_001,-6.15,12.259,13.67,7.52,18.4,33.0,,,,
2026-07-29T11:12:37+00:00,LEAD_ACID,home_001,-8.32,12.259,15.23,6.91,18.43,33.7,,,,
2026-07-29T11:12:42+00:00,LEAD_ACID,home_001,-7.33,12.259,14.75,7.42,18.33,25.3,,,,
2026-07-29T11:12:47+00:00,LEAD_ACID,home_001,-7.98,12.259,15.44,7.46,18.7,27.4,,,,
2026-07-29T11:12:52+00:00,LEAD_ACID,home_001,-6.89,12.259,14.11,7.22,18.41,34.3,,,,
2026-07-29T11:12:57+00:00,LEAD_ACID,home_001,-8.87,12.259,15.98,7.11,18.55,30.9,,,,
2026-07-29T11:13:02+00:00,LEAD_ACID,home_001,-4.39,12.259,11.76,7.37,18.37,25.1,,,,
2026-07-29T11:13:07+00:00,LEAD_ACID,home_001,-2.91,12.259,10.21,7.3,18.42,27.1,,,,
2026-07-29T11:13:12+00:00,LEAD_ACID,home_001,-8.41,12.259,15.78,7.37,18.3,33.8,,,,
2026-07-29T11:13:17+00:00,LEAD_ACID,home_001,-8.59,12.259,15.55,6.96,18.4,31.5,,,,
2026-07-29T11:13:22+00:00,LEAD_ACID,home_001,-5.57,12.258,12.69,7.12,18.3,26.7,,,,
2026-07-29T11:13:27+00:00,LEAD_ACID,home_001,-5.16,12.258,12.41,7.25,18.6,30.9,,,,
2026-07-29T11:13:32+00:00,LEAD_ACID,home_001,-6.94,12.258,14.48,7.54,18.48,30.3,,,,
2026-07-29T11:13:37+00:00,LEAD_ACID,home_001,-8.08,12.258,15.21,7.13,18.66,32.8,,,,
2026-07-29T11:13:43+00:00,LEAD_ACID,home_001,0.51,12.258,6.93,7.44,18.69,25.1,,,,
2026-07-29T11:13:53+00:00,LEAD_ACID,home_001,-7.34,12.258,14.89,7.55,18.45,29.1,,,,
2026-07-29T11:13:57+00:00,LEAD_ACID,home_001,-6.55,12.258,14.13,7.58,18.35,26.2,,,,
2026-07-29T11:14:02+00:00,LEAD_ACID,home_001,-8.51,12.258,15.95,7.44,18.33,32.7,,,,
2026-07-29T11:14:07+00:00,LEAD_ACID,home_001,0.13,12.258,6.87,7.0,18.28,30.1,,,,
2026-07-29T11:14:12+00:00,LEAD_ACID,home_001,-4.57,12.258,12.05,7.48,18.53,25.4,,,,
2026-07-29T11:14:17+00:00,LEAD_ACID,home_001,-4.77,12.258,11.96,7.19,18.67,33.6,,,,
2026-07-29T11:14:22+00:00,LEAD_ACID,home_001,-5.36,12.258,12.39,7.03,18.6,32.5,,,,
2026-07-29T11:14:27+00:00,LEAD_ACID,home_001,-0.29,12.258,7.24,6.95,18.3,33.1,,,,
2026-07-29T11:14:32+00:00,LEAD_ACID,home_001,-2.28,12.258,9.14,6.86,18.55,25.4,,,,
2026-07-29T11:14:37+00:00,LEAD_ACID,home_001,-7.6,12.258,14.67,7.07,18.41,29.3,,,,
2026-07-29T11:14:42+00:00,LEAD_ACID,home_001,-8.81,12.258,15.72,6.91,18.27,34.5,,,,
2026-07-29T11:14:47+00:00,LEAD_ACID,home_001,-0.28,12.258,7.45,7.17,18.26,25.8,,,,
2026-07-29T11:14:52+00:00,LEAD_ACID,home_001,-8.47,12.258,15.89,7.42,18.54,32.6,,,,
2026-07-29T11:14:57+00:00,LEAD_ACID,home_001,-2.86,12.258,9.9,7.04,18.71,31.9,,,,
2026-07-29T11:15:02+00:00,LEAD_ACID,home_001,-5.67,12.258,13.25,7.58,18.48,26.5,,,,
2026-07-29T11:15:07+00:00,LEAD_ACID,home_001,-0.16,12.258,7.33,7.17,18.69,34.3,,,,
2026-07-29T11:15:12+00:00,LEAD_ACID,home_001,-7.38,12.258,14.57,7.19,18.6,33.2,,,,
2026-07-29T11:15:17+00:00,LEAD_ACID,home_001,-7.67,12.258,14.7,7.03,18.7,34.4,,,,
2026-07-29T11:15:22+00:00,LEAD_ACID,home_001,-3.22,12.258,10.79,7.57,18.64,31.3,,,,
2026-07-29T11:15:27+00:00,LEAD_ACID,home_001,-8.11,12.258,15.26,7.15,18.5,34.9,,,,
2026-07-29T11:15:32+00:00,LEAD_ACID,home_001,-8.31,12.258,15.44,7.13,18.66,33.3,,,,
2026-07-29T11:15:37+00:00,LEAD_ACID,home_001,-5.2,12.258,12.79,7.59,18.57,30.3,,,,
2026-07-29T11:15:42+00:00,LEAD_ACID,home_001,0.78,12.258,6.8,7.58,18.56,26.1,,,,
2026-07-29T11:15:47+00:00,LEAD_ACID,home_001,-6.16,12.258,13.68,7.52,18.46,26.3,,,,
2026-07-29T11:15:52+00:00,LEAD_ACID,home_001,-3.35,12.258,10.2,6.85,18.59,26.0,,,,
2026-07-29T11:15:57+00:00,LEAD_ACID,home_001,-2.07,12.258,9.53,7.46,18.34,26.6,,,,
2026-07-29T11:16:02+00:00,LEAD_ACID,home_001,-2.02,12.258,9.24,7.22,18.65,32.6,,,,
2026-07-29T11:16:07+00:00,LEAD_ACID,home_001,-1.42,12.258,8.72,7.3,18.46,34.5,,,,
2026-07-29T11:16:12+00:00,LEAD_ACID,home_001,-3.31,12.258,10.33,7.02,18.26,31.4,,,,
2026-07-29T11:16:18+00:00,LEAD_ACID,home_001,-7.96,12.258,15.21,7.25,18.49,29.6,,,,
2026-07-29T11:16:22+00:00,LEAD_ACID,home_001,-7.93,12.258,14.75,6.82,18.61,27.9,,,,
2026-07-29T11:16:27+00:00,LEAD_ACID,home_001,-6.02,12.258,13.61,7.59,18.45,26.8,,,,
2026-07-29T11:16:32+00:00,LEAD_ACID,home_001,-6.33,12.258,13.36,7.03,18.64,25.3,,,,
2026-07-29T11:16:37+00:00,LEAD_ACID,home_001,-2.88,12.258,10.18,7.3,18.32,25.1,,,,
2026-07-29T11:16:42+00:00,LEAD_ACID,home_001,-2.46,12.258,9.64,7.18,18.65,28.1,,,,
2026-07-29T11:16:47+00:00,LEAD_ACID,home_001,-6.35,12.258,13.18,6.83,18.32,28.6,,,,
2026-07-29T11:16:52+00:00,LEAD_ACID,home_001,-5.74,12.258,13.05,7.31,18.31,33.6,,,,
2026-07-29T11:16:57+00:00,LEAD_ACID,home_001,-0.5,12.258,7.74,7.24,18.66,32.6,,,,
2026-07-29T11:17:02+00:00,LEAD_ACID,home_001,-8.94,12.258,16.23,7.29,18.46,31.5,,,,
2026-07-29T11:17:07+00:00,LEAD_ACID,home_001,-2.16,12.258,9.21,7.05,18.72,34.0,,,,
2026-07-29T11:17:12+00:00,LEAD_ACID,home_001,-7.98,12.258,14.85,6.87,18.66,30.3,,,,
2026-07-29T11:17:17+00:00,LEAD_ACID,home_001,-0.78,12.258,7.72,6.94,18.28,31.1,,,,
2026-07-29T11:17:22+00:00,LEAD_ACID,home_001,-1.73,12.258,9.13,7.4,18.42,29.6,,,,
2026-07-29T11:17:27+00:00,LEAD_ACID,home_001,-1.62,12.258,8.79,7.17,18.57,33.7,,,,
2026-07-29T11:17:32+00:00,LEAD_ACID,home_001,-0.28,12.258,7.71,7.43,18.36,30.2,,,,
2026-07-29T11:17:37+00:00,LEAD_ACID,home_001,-4.94,12.258,12.53,7.59,18.55,26.8,,,,
2026-07-29T11:17:43+00:00,LEAD_ACID,home_001,-0.04,12.258,7.02,6.98,18.53,31.3,,,,
2026-07-29T11:17:48+00:00,LEAD_ACID,home_001,-1.46,12.258,8.96,7.5,18.42,28.2,,,,
2026-07-29T11:17:59+00:00,LEAD_ACID,home_001,-1.83,12.258,8.71,6.88,18.75,33.7,,,,
2026-07-29T11:18:01+00:00,LEAD_ACID,home_001,-3.58,12.258,10.48,6.9,18.38,27.6,,,,
2026-07-29T11:18:02+00:00,LEAD_ACID,home_001,0.44,12.258,7.15,7.59,18.44,28.9,,,,
2026-07-29T11:18:07+00:00,LEAD_ACID,home_001,-1.98,12.258,9.04,7.06,18.48,32.2,,,,
2026-07-29T11:18:12+00:00,LEAD_ACID,home_001,-1.2,12.258,8.65,7.45,18.4,34.2,,,,
2026-07-29T11:18:17+00:00,LEAD_ACID,home_001,-7.92,12.258,15.36,7.44,18.56,33.5,,,,
2026-07-29T11:18:22+00:00,LEAD_ACID,home_001,-5.86,12.258,13.27,7.41,18.68,34.1,,,,
2026-07-29T11:18:27+00:00,LEAD_ACID,home_001,-1.0,12.258,8.09,7.09,18.41,29.2,,,,
2026-07-29T11:18:32+00:00,LEAD_ACID,home_001,0.49,12.258,6.72,7.21,18.46,32.1,,,,
2026-07-29T11:18:37+00:00,LEAD_ACID,home_001,-0.7,12.258,7.97,7.27,18.67,34.2,,,,
2026-07-29T11:18:42+00:00,LEAD_ACID,home_001,-8.58,12.258,15.77,7.19,18.72,30.1,,,,
2026-07-29T11:18:47+00:00,LEAD_ACID,home_001,-2.68,12.258,9.97,7.29,18.39,34.1,,,,
2026-07-29T11:18:52+00:00,LEAD_ACID,home_001,-2.21,12.258,9.28,7.07,18.72,33.6,,,,
2026-07-29T11:18:57+00:00,LEAD_ACID,home_001,0.01,12.258,7.17,7.18,18.67,29.7,,,,
2026-07-29T11:19:02+00:00,LEAD_ACID,home_001,-5.92,12.258,13.12,7.2,18.36,26.3,,,,
2026-07-29T11:19:07+00:00,LEAD_ACID,home_001,-2.42,12.258,9.8,7.38,18.44,30.3,,,,
2026-07-29T11:19:12+00:00,LEAD_ACID,home_001,-8.04,12.258,15.08,7.04,18.35,31.6,,,,
2026-07-29T11:19:17+00:00,LEAD_ACID,home_001,-4.96,12.258,12.14,7.18,18.37,33.0,,,,
2026-07-29T11:19:22+00:00,LEAD_ACID,home_001,-3.11,12.258,10.02,6.91,18.54,33.3,,,,
2026-07-29T11:19:28+00:00,LEAD_ACID,home_001,-3.43,12.258,10.3,6.87,18.29,27.4,,,,
2026-07-29T11:19:32+00:00,LEAD_ACID,home_001,-0.83,12.258,8.25,7.42,18.74,31.9,,,,
2026-07-29T11:19:37+00:00,LEAD_ACID,home_001,-3.02,12.258,10.4,7.38,18.38,25.8,,,,
2026-07-29T11:19:42+00:00,LEAD_ACID,home_001,-0.47,12.258,8.07,7.6,18.3,34.8,,,,
2026-07-29T11:19:47+00:00,LEAD_ACID,home_001,-6.32,12.258,13.71,7.39,18.46,29.6,,,,
2026-07-29T11:19:52+00:00,LEAD_ACID,home_001,-5.35,12.258,12.92,7.57,18.74,31.5,,,,
2026-07-29T11:19:57+00:00,LEAD_ACID,home_001,-3.81,12.258,11.1,7.29,18.72,28.2,,,,
2026-07-29T11:20:03+00:00,LEAD_ACID,home_001,-9.81,12.258,16.64,6.83,18.62,31.6,,,,
2026-07-29T11:20:07+00:00,LEAD_ACID,home_001,-2.93,12.258,10.1,7.17,18.56,33.0,,,,
2026-07-29T11:20:12+00:00,LEAD_ACID,home_001,-3.59,12.258,10.59,7.0,18.6,32.9,,,,
2026-07-29T11:20:17+00:00,LEAD_ACID,home_001,-7.16,12.258,14.69,7.53,18.65,32.5,,,,
2026-07-29T11:20:24+00:00,LEAD_ACID,home_001,-5.74,12.258,13.18,7.44,18.56,27.4,,,,
2026-07-29T11:20:27+00:00,LEAD_ACID,home_001,-1.69,12.258,9.12,7.43,18.44,27.6,,,,
2026-07-29T11:20:32+00:00,LEAD_ACID,home_001,-3.65,12.258,10.65,7.0,18.63,34.8,,,,
2026-07-29T11:20:37+00:00,LEAD_ACID,home_001,-2.01,12.258,9.33,7.32,18.73,30.5,,,,
2026-07-29T11:20:42+00:00,LEAD_ACID,home_001,-3.59,12.258,10.98,7.39,18.59,26.3,,,,
2026-07-29T11:20:47+00:00,LEAD_ACID,home_001,-6.71,12.258,13.76,7.05,18.7,28.7,,,,
2026-07-29T11:20:52+00:00,LEAD_ACID,home_001,-1.28,12.258,8.84,7.56,18.37,30.2,,,,
2026-07-29T11:20:57+00:00,LEAD_ACID,home_001,-1.49,12.258,8.49,7.0,18.55,28.4,,,,
2026-07-29T11:21:02+00:00,LEAD_ACID,home_001,-0.13,12.258,7.63,7.5,18.53,27.7,,,,
2026-07-29T11:21:07+00:00,LEAD_ACID,home_001,-1.36,12.258,8.42,7.06,18.66,25.1,,,,
2026-07-29T11:21:13+00:00,LEAD_ACID,home_001,-4.34,12.258,11.33,6.99,18.33,30.1,,,,
2026-07-29T11:21:17+00:00,LEAD_ACID,home_001,-8.72,12.258,16.03,7.31,18.48,27.0,,,,
2026-07-29T11:21:23+00:00,LEAD_ACID,home_001,-8.04,12.258,14.87,6.83,18.43,27.4,,,,
2026-07-29T11:21:27+00:00,LEAD_ACID,home_001,-6.14,12.258,13.4,7.26,18.48,33.1,,,,
2026-07-29T11:21:32+00:00,LEAD_ACID,home_001,-4.22,12.258,11.25,7.03,18.5,33.9,,,,
2026-07-29T11:21:37+00:00,LEAD_ACID,home_001,-3.39,12.258,10.27,6.88,18.63,29.7,,,,
2026-07-29T11:21:42+00:00,LEAD_ACID,home_001,-6.37,12.258,13.95,7.58,18.25,32.0,,,,
2026-07-29T11:21:47+00:00,LEAD_ACID,home_001,-4.42,12.258,11.91,7.49,18.44,28.2,,,,
2026-07-29T11:21:52+00:00,LEAD_ACID,home_001,-0.92,12.258,8.31,7.39,18.54,28.5,,,,
2026-07-29T11:21:57+00:00,LEAD_ACID,home_001,-9.38,12.258,16.36,6.98,18.51,26.8,,,,
2026-07-29T11:22:02+00:00,LEAD_ACID,home_001,-6.97,12.258,14.5,7.53,18.74,31.1,,,,
2026-07-29T11:22:07+00:00,LEAD_ACID,home_001,-2.17,12.258,9.75,7.58,18.34,28.7,,,,
2026-07-29T11:22:13+00:00,LEAD_ACID,home_001,-3.93,12.258,11.5,7.57,18.49,31.9,,,,
2026-07-29T11:22:17+00:00,LEAD_ACID,home_001,-3.95,12.258,11.15,7.2,18.53,29.6,,,,
2026-07-29T11:22:23+00:00,LEAD_ACID,home_001,-8.87,12.258,15.93,7.06,18.3,28.1,,,,
2026-07-29T11:22:28+00:00,LEAD_ACID,home_001,-4.05,12.258,11.38,7.33,18.33,31.7,,,,
2026-07-29T11:22:33+00:00,LEAD_ACID,home_001,-6.06,12.258,13.08,7.02,18.31,26.2,,,,
2026-07-29T11:22:37+00:00,LEAD_ACID,home_001,-7.37,12.258,14.29,6.92,18.7,26.1,,,,
2026-07-29T11:22:42+00:00,LEAD_ACID,home_001,-8.21,12.258,15.37,7.16,18.33,31.8,,,,
2026-07-29T11:22:47+00:00,LEAD_ACID,home_001,-7.46,12.257,15.05,7.59,18.59,29.3,,,,
2026-07-29T11:22:53+00:00,LEAD_ACID,home_001,-8.75,12.257,16.08,7.33,18.3,27.9,,,,
2026-07-29T11:22:58+00:00,LEAD_ACID,home_001,-7.69,12.257,14.71,7.02,18.41,30.0,,,,
2026-07-29T11:23:03+00:00,LEAD_ACID,home_001,-8.19,12.257,15.45,7.26,18.56,27.9,,,,
2026-07-29T11:23:08+00:00,LEAD_ACID,home_001,-0.27,12.257,7.65,7.38,18.43,25.9,,,,
2026-07-29T11:23:13+00:00,LEAD_ACID,home_001,0.55,12.257,6.78,7.33,18.51,27.4,,,,
2026-07-29T11:23:18+00:00,LEAD_ACID,home_001,-3.33,12.257,10.28,6.95,18.51,27.9,,,,
2026-07-29T11:23:22+00:00,LEAD_ACID,home_001,-4.56,12.257,11.48,6.92,18.68,30.5,,,,
2026-07-29T11:23:28+00:00,LEAD_ACID,home_001,-6.66,12.257,13.49,6.83,18.54,28.0,,,,
2026-07-29T11:23:32+00:00,LEAD_ACID,home_001,-4.2,12.257,11.33,7.13,18.43,27.5,,,,
2026-07-29T11:23:38+00:00,LEAD_ACID,home_001,0.21,12.257,7.34,7.55,18.71,25.9,,,,
2026-07-29T11:23:43+00:00,LEAD_ACID,home_001,-5.43,12.257,12.72,7.29,18.54,31.8,,,,
2026-07-29T11:23:48+00:00,LEAD_ACID,home_001,-2.76,12.257,9.6,6.84,18.54,30.7,,,,
2026-07-29T11:23:53+00:00,LEAD_ACID,home_001,-3.84,12.257,10.9,7.06,18.6,28.0,,,,
2026-07-29T11:23:58+00:00,LEAD_ACID,home_001,0.38,12.257,6.97,7.35,18.73,27.4,,,,
2026-07-29T11:24:03+00:00,LEAD_ACID,home_001,-2.53,12.257,9.34,6.81,18.29,33.6,,,,
2026-07-29T11:24:08+00:00,LEAD_ACID,home_001,-3.33,12.257,10.82,7.49,18.35,28.3,,,,
2026-07-29T11:24:13+00:00,LEAD_ACID,home_001,-0.96,12.257,8.18,7.22,18.63,26.6,,,,
2026-07-29T11:24:18+00:00,LEAD_ACID,home_001,-8.0,12.257,14.93,6.93,18.44,34.4,,,,
2026-07-29T11:24:23+00:00,LEAD_ACID,home_001,-9.39,12.257,16.46,7.07,18.66,30.3,,,,
2026-07-29T11:24:28+00:00,LEAD_ACID,home_001,-4.62,12.257,12.21,7.59,18.65,30.0,,,,
2026-07-29T11:24:34+00:00,LEAD_ACID,home_001,-3.41,12.257,10.25,6.84,18.7,28.7,,,,
2026-07-29T11:24:38+00:00,LEAD_ACID,home_001,-2.26,12.257,9.53,7.27,18.64,28.9,,,,
2026-07-29T11:24:45+00:00,LEAD_ACID,home_001,-7.3,12.257,14.45,7.15,18.68,31.8,,,,
2026-07-29T11:24:48+00:00,LEAD_ACID,home_001,-3.42,12.257,10.47,7.05,18.69,26.1,,,,
2026-07-29T11:24:53+00:00,LEAD_ACID,home_001,-4.02,12.257,11.42,7.4,18.57,34.6,,,,
2026-07-29T11:24:58+00:00,LEAD_ACID,home_001,-2.4,12.257,9.55,7.15,18.43,28.7,,,,
2026-07-29T11:25:03+00:00,LEAD_ACID,home_001,-0.28,12.257,7.12,6.84,18.55,32.1,,,,
2026-07-29T11:25:08+00:00,LEAD_ACID,home_001,-6.21,12.257,13.76,7.55,18.38,33.6,,,,
2026-07-29T11:25:13+00:00,LEAD_ACID,home_001,-6.59,12.257,13.82,7.23,18.4,30.2,,,,
2026-07-29T11:25:18+00:00,LEAD_ACID,home_001,-7.99,12.257,15.06,7.07,18.27,33.2,,,,
2026-07-29T11:25:23+00:00,LEAD_ACID,home_001,-5.31,12.257,12.19,6.88,18.61,25.4,,,,
